menu,afghanistan,bangladesh,bhutan,brunei,cambodia,east_timor,fiji,kiribati,laos,malaysia,micronesia,myanmar,nepal,pakistan,papua_new_guinea,solomon_islands,sri_lanka,syria,tonga,uzbekistan,vanuatu,vietnam,yemen,india,indonesia,Total,Fetched_date
multiple values,1.0,41.0,2.0,0.0,6.0,1.0,0.0,0.0,6.0,77.0,1.0,24.0,43.0,161.0,2.0,0.0,83.0,34.0,1.0,45.0,0.0,36.0,1.0,325.0,179.0,1069.0,2024-09-08 06:21:33.138713
multipolygon,259.0,564.0,138.0,14.0,23.0,45.0,122.0,32.0,14.0,568.0,11.0,211.0,466.0,2022.0,74.0,23.0,563.0,107.0,76.0,272.0,22.0,302.0,113.0,1372.0,1592.0,9005.0,2024-09-08 06:21:33.138713
node on ways,3.0,2447.0,6.0,0.0,48.0,8.0,2.0,1.0,11.0,72.0,0.0,169.0,144.0,270.0,4.0,2.0,139.0,35.0,0.0,138.0,1.0,2459.0,7.0,19573.0,726.0,26265.0,2024-09-08 06:21:33.138713
noexit,1.0,9.0,0.0,3.0,1.0,5.0,15.0,0.0,15.0,78.0,0.0,0.0,31.0,67.0,2.0,0.0,11.0,15.0,0.0,19.0,4.0,42.0,21.0,217.0,185.0,741.0,2024-09-08 06:21:33.138713
not-connected highway/cycleway,2759.0,21252.0,126.0,31.0,610.0,442.0,656.0,303.0,3169.0,8650.0,94.0,20323.0,6665.0,6308.0,5140.0,3958.0,3444.0,739.0,698.0,1235.0,660.0,15725.0,1433.0,28637.0,32854.0,165911.0,2024-09-08 06:21:33.138713
numeric,373.0,587.0,9.0,4.0,57.0,29.0,27.0,0.0,25.0,342.0,1.0,6483.0,2967.0,531.0,50.0,0.0,330.0,221.0,11.0,372.0,3.0,623.0,51.0,4457.0,2174.0,19727.0,2024-09-08 06:21:33.138713
numeric value,19.0,308.0,8.0,1.0,49.0,22.0,57.0,2.0,11.0,715.0,1.0,6252.0,182.0,282.0,308.0,1.0,68.0,62.0,0.0,243.0,2.0,171.0,53.0,4649.0,2401.0,15867.0,2024-09-08 06:21:33.138713
objects intersection,1736.0,1505.0,860.0,7.0,217.0,223.0,86.0,2.0,546.0,559.0,4.0,1440.0,7045.0,2276.0,291.0,173.0,997.0,332.0,2.0,599.0,20.0,730.0,1978.0,11753.0,11199.0,44580.0,2024-09-08 06:21:33.138713
objects overlap,6190.0,50258.0,1789.0,90.0,4488.0,471.0,374.0,34.0,2034.0,11008.0,17.0,19281.0,29377.0,13035.0,532.0,338.0,10363.0,5804.0,56.0,14830.0,99.0,14092.0,14041.0,241144.0,123806.0,563551.0,2024-09-08 06:21:33.138713
on junction=roundabout,171.0,85.0,12.0,113.0,279.0,22.0,0.0,0.0,42.0,2692.0,0.0,96.0,19.0,613.0,2.0,0.0,77.0,777.0,1.0,286.0,0.0,1633.0,168.0,2612.0,1547.0,11247.0,2024-09-08 06:21:33.138713
one-node way,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2024-09-08 06:21:33.138713
oneway,8.0,10.0,0.0,0.0,0.0,12.0,0.0,0.0,1.0,34.0,0.0,4.0,4.0,39.0,2.0,0.0,2.0,30.0,0.0,3.0,0.0,10.0,9.0,155.0,50.0,373.0,2024-09-08 06:21:33.138713
open polygon,0.0,8.0,6.0,0.0,0.0,0.0,12.0,0.0,0.0,25.0,0.0,20.0,59.0,30.0,0.0,0.0,2.0,6.0,0.0,8.0,0.0,17.0,0.0,219.0,65.0,477.0,2024-09-08 06:21:33.138713
opening hours,5.0,116.0,56.0,7.0,40.0,10.0,8.0,0.0,7.0,215.0,0.0,36.0,509.0,68.0,3.0,0.0,48.0,8.0,0.0,34.0,2.0,483.0,1.0,861.0,357.0,2874.0,2024-09-08 06:21:33.138713
openrailwaymap,4.0,105.0,0.0,0.0,20.0,0.0,1.0,0.0,24.0,425.0,0.0,514.0,1.0,135.0,0.0,0.0,173.0,50.0,0.0,123.0,0.0,267.0,0.0,1726.0,544.0,4112.0,2024-09-08 06:21:33.138713
orphan nodes,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,12.0,22.0,6.0,0.0,0.0,8.0,0.0,0.0,8.0,1.0,4.0,7.0,22.0,5.0,110.0,2024-09-08 06:21:33.138713
orthograph,302.0,3039.0,472.0,50.0,295.0,79.0,667.0,15.0,123.0,4429.0,10.0,943.0,2056.0,5556.0,42.0,10.0,2108.0,208.0,4.0,4028.0,52.0,2811.0,80.0,37314.0,32094.0,96787.0,2024-09-08 06:21:33.138713
overlapping building,1914.0,46240.0,380.0,36.0,1665.0,763.0,15.0,54.0,724.0,5970.0,27.0,15583.0,21358.0,6003.0,306.0,162.0,17874.0,3146.0,94.0,10032.0,261.0,11705.0,5947.0,65499.0,207674.0,423432.0,2024-09-08 06:21:33.138713
parking lane,107.0,131.0,76.0,117.0,78.0,49.0,53.0,1.0,92.0,2891.0,8.0,509.0,170.0,589.0,65.0,1.0,365.0,299.0,25.0,1086.0,13.0,693.0,60.0,4526.0,2964.0,14968.0,2024-09-08 06:21:33.138713
phone number,0.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,2.0,8.0,0.0,7.0,97.0,17.0,1.0,0.0,4.0,0.0,0.0,41.0,0.0,4.0,1.0,88.0,19.0,297.0,2024-09-08 06:21:33.138713
postcode,44.0,214.0,38.0,7.0,0.0,0.0,0.0,0.0,39.0,109.0,0.0,1224.0,752.0,197.0,9.0,0.0,258.0,0.0,0.0,170.0,0.0,2250.0,0.0,0.0,180.0,5491.0,2024-09-08 06:21:33.138713
potential misspelling,,,,4.0,,7.0,2.0,0.0,,48.0,0.0,,,,3.0,0.0,,,0.0,,,32.0,,0.0,147.0,243.0,2024-09-08 06:21:33.138713
power lines,2931.0,1571.0,329.0,19.0,176.0,90.0,2461.0,0.0,442.0,2052.0,9.0,8119.0,1243.0,5637.0,135.0,0.0,1685.0,15385.0,20.0,19848.0,1.0,2465.0,1138.0,32124.0,5657.0,103537.0,2024-09-08 06:21:33.138713
power transformer,144.0,70.0,3.0,4.0,1.0,14.0,6.0,0.0,4.0,107.0,0.0,181.0,116.0,199.0,2.0,0.0,23.0,83.0,0.0,250.0,0.0,592.0,25.0,2396.0,210.0,4430.0,2024-09-08 06:21:33.138713
public transport,31.0,1289.0,6.0,55.0,291.0,3.0,12.0,0.0,38.0,887.0,0.0,791.0,557.0,180.0,2.0,0.0,413.0,208.0,1.0,553.0,0.0,1769.0,0.0,9127.0,3179.0,19392.0,2024-09-08 06:21:33.138713
